iter	MultiClass
0	1.022313501
1	0.9549248568
2	0.8932016944
3	0.8383495549
4	0.7928438612
5	0.7504859487
6	0.7142731004
7	0.6786204053
8	0.6466674805
9	0.6166247228
10	0.5916386015
11	0.5666344515
12	0.5434949352
13	0.5211862941
14	0.5014859339
15	0.4821313749
16	0.4634774081
17	0.4482073936
18	0.4319985748
19	0.4185366296
20	0.4047611504
21	0.3913765926
22	0.3796608311
23	0.3672579626
24	0.3580614564
25	0.3476189777
26	0.337725937
27	0.3283693836
28	0.3193002203
29	0.3107256069
30	0.3026493826
31	0.2954514619
32	0.2884057889
33	0.281405698
34	0.2743470745
35	0.2681019291
36	0.2619816482
37	0.2556666477
38	0.2503067551
39	0.2451166773
40	0.2395772752
41	0.2347392671
42	0.2303230383
43	0.2259420407
44	0.22134725
45	0.2171312077
46	0.2127769616
47	0.2092966942
48	0.2060584779
49	0.2019724269
50	0.1985298084
51	0.1947946974
52	0.191461636
53	0.1881836083
54	0.1853416103
55	0.1819692721
56	0.1788130596
57	0.1762480402
58	0.1735448777
59	0.1711480693
60	0.1682782872
61	0.1657325963
62	0.1635921503
63	0.1609604343
64	0.1588631648
65	0.1567549007
66	0.1545110933
67	0.1522745874
68	0.1500958607
69	0.14812054
70	0.1459133731
71	0.1437124021
72	0.1420387219
73	0.1402699659
74	0.138513638
75	0.1364955659
76	0.1348751092
77	0.1330286743
78	0.1313086953
79	0.1293254293
80	0.1276932978
81	0.1261489528
82	0.1250310764
83	0.1236034077
84	0.1219825259
85	0.1207793169
86	0.119409549
87	0.1180651962
88	0.1167965178
89	0.1155051578
90	0.1143580759
91	0.1130900049
92	0.1118200752
93	0.1107021745
94	0.109566233
95	0.108452718
96	0.1072611232
97	0.1058501954
98	0.1048043002
99	0.1041264504
100	0.1030438417
101	0.1019364983
102	0.100598232
103	0.09956689701
104	0.09854071915
105	0.09783533424
106	0.09687853163
107	0.09586965962
108	0.0948811853
109	0.0940232854
110	0.09307040682
111	0.0918385208
112	0.09102114295
113	0.09017179574
114	0.0895761259
115	0.08875227278
116	0.08794390927
117	0.08698507175
118	0.08622519985
119	0.08527884514
120	0.08453144997
121	0.083587525
122	0.08276504468
123	0.08197617986
124	0.08112737935
125	0.08034964276
126	0.07959261973
127	0.07905030706
128	0.07832049716
129	0.07750636301
130	0.07673266587
131	0.07602337515
132	0.07517552224
133	0.07449303159
134	0.07391480124
135	0.07333858757
136	0.07272443346
137	0.07179071341
138	0.07124601959
139	0.07068986346
140	0.07011382595
141	0.06942583801
142	0.06877670774
143	0.06819191708
144	0.06770381806
145	0.06728127352
146	0.06669868178
147	0.06600564604
148	0.0655310807
149	0.06497767017
150	0.06450106384
151	0.06392980685
152	0.06349137179
153	0.06304138329
154	0.06264119239
155	0.06219569893
156	0.06172202043
157	0.06136120353
158	0.06096081217
159	0.06049111239
160	0.05998747516
161	0.0596114845
162	0.05922935875
163	0.05886292913
164	0.0583948755
165	0.05797318744
166	0.05765851136
167	0.05717988834
168	0.05676164445
169	0.05635998963
170	0.05593052639
171	0.05558361369
172	0.05516748975
173	0.05478489627
174	0.05444061376
175	0.05407725778
176	0.0537190164
177	0.0533348861
178	0.05300477508
179	0.05271044203
180	0.05239650702
181	0.05205789797
182	0.05176234397
183	0.05135024125
184	0.05108884945
185	0.05074748871
186	0.05037819808
187	0.05000726129
188	0.04976728767
189	0.04944798597
190	0.04914840771
191	0.04888197115
192	0.04852940626
193	0.04816851343
194	0.04785456931
195	0.04765365989
196	0.0473506891
197	0.04704953759
198	0.04663111146
199	0.04629853425
200	0.04600168945
201	0.04571807157
202	0.04538264852
203	0.04510761978
204	0.04483096615
205	0.04455904748
206	0.04431665627
207	0.04400381465
208	0.04374847291
209	0.04353749221
210	0.04335953476
211	0.04305750246
212	0.04277420044
213	0.04254957369
214	0.04232979732
215	0.04209759585
216	0.04187660764
217	0.04159787354
218	0.04143994325
219	0.04122226861
220	0.04105677574
221	0.04086844025
222	0.04067271227
223	0.04049223396
224	0.04024069476
225	0.03996790746
226	0.03978478681
227	0.03958629195
228	0.03943134721
229	0.03926898568
230	0.03907833282
231	0.03886752523
232	0.03863372924
233	0.03839763107
234	0.03811271935
235	0.03793980969
236	0.03771653145
237	0.03753682458
238	0.03733516195
239	0.03707648538
240	0.03690736005
241	0.03665634629
242	0.03647256961
243	0.0362855644
244	0.03611588934
245	0.03590711363
246	0.03565764579
247	0.03543562798
248	0.03524279443
249	0.03508704787
250	0.03495930714
251	0.03480434418
252	0.03463944964
253	0.03449165745
254	0.0343303893
255	0.03421510709
256	0.03406922529
257	0.03388367185
258	0.03375129639
259	0.03358661141
260	0.03341706999
261	0.03323496071
262	0.03306934332
263	0.03297711634
264	0.03284625643
265	0.03269246581
266	0.03251157141
267	0.03240863533
268	0.03227386961
269	0.03210461975
270	0.03197466492
271	0.03182444603
272	0.03170006442
273	0.03154069451
274	0.03141411095
275	0.03132702591
276	0.03117000373
277	0.03104940038
278	0.03093333153
279	0.03084364363
280	0.03069392891
281	0.03056518895
282	0.03044313686
283	0.03031423897
284	0.03017003369
285	0.03003528619
286	0.02988076666
287	0.02971691083
288	0.02959781999
289	0.02951590423
290	0.02938428502
291	0.0292687325
292	0.02913202602
293	0.02904336164
294	0.02894621442
295	0.02883826092
296	0.02871862035
297	0.0285546643
298	0.02843545197
299	0.02829643723
300	0.02823165723
301	0.02807426149
302	0.02799368816
303	0.02786884794
304	0.02776460587
305	0.02766455511
306	0.02752546748
307	0.0274229566
308	0.02732947526
309	0.02723403797
310	0.02713007836
311	0.02699063538
312	0.02689294147
313	0.02676350903
314	0.02664699068
315	0.02654042214
316	0.02644360293
317	0.02631439525
318	0.02616195011
319	0.02607221057
320	0.02596395942
321	0.02586316759
322	0.02576349951
323	0.02563945503
324	0.02555719606
325	0.02547762045
326	0.0253956242
327	0.02529504193
328	0.02519031543
329	0.02511590302
330	0.02501605878
331	0.02491851977
332	0.02484074672
333	0.02475757204
334	0.02464034451
335	0.02456401108
336	0.02446999519
337	0.02436899683
338	0.0242879497
339	0.02417557407
340	0.02409610627
341	0.02397038527
342	0.02388320151
343	0.02380131157
344	0.02369041504
345	0.02362379906
346	0.02352922434
347	0.02345431534
348	0.02333411138
349	0.02326235042
350	0.02319451806
351	0.02311152561
352	0.02305859973
353	0.02294845946
354	0.02287719963
355	0.02279667945
356	0.02270347753
357	0.02263523363
358	0.02254314939
359	0.02241205258
360	0.02232822339
361	0.0222600782
362	0.02218453747
363	0.0221174963
364	0.02207123854
365	0.02197711179
366	0.02188631683
367	0.02178848169
368	0.02171118092
369	0.0216606377
370	0.02159396099
371	0.02151803302
372	0.02144512553
373	0.02139787613
374	0.0213242549
375	0.02125911956
376	0.02119584144
377	0.02113419733
378	0.0210248528
379	0.02094604103
380	0.02088568013
381	0.02082198137
382	0.02076249366
383	0.02071956161
384	0.02064117505
385	0.02056689019
386	0.02051139941
387	0.02045292915
388	0.02039230705
389	0.02032801148
390	0.02025305845
391	0.0201958061
392	0.02013849453
393	0.0200690312
394	0.01998834853
395	0.01993248721
396	0.01986146125
397	0.01978929635
398	0.0197243402
399	0.01964339177
400	0.01958912042
401	0.01952252722
402	0.0194406722
403	0.01937334401
404	0.01931143718
405	0.01927223327
406	0.01922619267
407	0.01915458965
408	0.01908518251
409	0.01902478668
410	0.0189751698
411	0.01891964105
412	0.01886996646
413	0.01879889494
414	0.01875553465
415	0.01869753819
416	0.01864071864
417	0.01858001302
418	0.0185243886
419	0.01847899795
420	0.01840907905
421	0.01835567936
422	0.01830534419
423	0.01824171832
424	0.01817491252
425	0.01811667612
426	0.01806296513
427	0.01801991615
428	0.01796644053
429	0.01790105917
430	0.01784827907
431	0.01778621734
432	0.0177322983
433	0.01770047777
434	0.01765981146
435	0.01759821442
436	0.01755727173
437	0.01750707626
438	0.01745168571
439	0.01740911204
440	0.01735356507
441	0.01730727238
442	0.0172671072
443	0.01720380176
444	0.01715847489
445	0.01710318912
446	0.01704357688
447	0.01700395536
448	0.01694741067
449	0.01691259396
450	0.01685896952
451	0.01681711112
452	0.01677335751
453	0.01673234952
454	0.01669877654
455	0.01665870096
456	0.01660955939
457	0.01655652417
458	0.01651397025
459	0.01647701081
460	0.01642117227
461	0.01636035883
462	0.01632115188
463	0.0162797612
464	0.01622795299
465	0.01618514091
466	0.01614123545
467	0.01610258582
468	0.01605824149
469	0.01601060029
470	0.01597621486
471	0.01594997212
472	0.01590591479
473	0.01586090987
474	0.01582540372
475	0.01578869182
476	0.01575389637
477	0.01571056038
478	0.01567884463
479	0.01564323219
480	0.0156047086
481	0.01556940747
482	0.01553600457
483	0.01549680673
484	0.0154516864
485	0.01541309903
486	0.01536159758
487	0.01531463824
488	0.01527325667
489	0.0152385736
490	0.01520404846
491	0.01516271397
492	0.01511224516
493	0.01508026973
494	0.01503934982
495	0.01500033877
496	0.01496347804
497	0.01493073421
498	0.01489733435
499	0.01485039474
500	0.01480675351
501	0.01477387453
502	0.01473114901
503	0.01468686389
504	0.01465745489
505	0.01463225541
506	0.0145815254
507	0.01452318422
508	0.01448644346
509	0.01445482187
510	0.01442186696
511	0.01439241847
512	0.01436458272
513	0.01432490197
514	0.0142977587
515	0.01426222066
516	0.0142308466
517	0.01419579603
518	0.01415326793
519	0.01412521502
520	0.01410472469
521	0.01407256096
522	0.01402809969
523	0.01399357152
524	0.01395661664
525	0.01393431463
526	0.01390123367
527	0.01387685423
528	0.01384115067
529	0.01380074859
530	0.01376607312
531	0.01374013257
532	0.01371379719
533	0.0136879356
534	0.01365905051
535	0.0136186864
536	0.01358555533
537	0.01355311825
538	0.01352943281
539	0.01350014529
540	0.01347273019
541	0.01341907386
542	0.01339918489
543	0.01337239393
544	0.01334962723
545	0.01332585068
546	0.01330396324
547	0.01326783296
548	0.01324339581
549	0.01321508171
550	0.01318882681
551	0.01316118848
552	0.01313142108
553	0.01310527552
554	0.01307925449
555	0.01305044988
556	0.01301972122
557	0.01299423777
558	0.01297455836
559	0.01294139236
560	0.01290964473
561	0.01287713628
562	0.01285233467
563	0.01282857482
564	0.01280784151
565	0.0127750339
566	0.01275313432
567	0.01273322105
568	0.0127107315
569	0.01268223592
570	0.01265789369
571	0.01263561522
572	0.01261220996
573	0.01257988146
574	0.01254533962
575	0.01251289192
576	0.01248597947
577	0.0124520481
578	0.01242395951
579	0.01239106837
580	0.01236671551
581	0.01233971423
582	0.01230242298
583	0.01226709603
584	0.01224844623
585	0.01222319208
586	0.01220573893
587	0.01218044834
588	0.0121603293
589	0.01213829836
590	0.01210636242
591	0.01206523901
592	0.01204330299
593	0.01201406102
594	0.01199148719
595	0.01196832566
596	0.01193696982
597	0.01190772861
598	0.01187221639
599	0.01184440722
600	0.01181525334
601	0.0117807039
602	0.01174157896
603	0.01171659057
604	0.01169240323
605	0.0116661992
606	0.01163800962
607	0.01161743046
608	0.0115976569
609	0.01157831614
610	0.01155752437
611	0.01153011535
612	0.01151391199
613	0.01149275804
614	0.01146646898
615	0.01144091111
616	0.01141617328
617	0.01139958953
618	0.01138372026
619	0.01136210314
620	0.01133593328
621	0.01131463279
622	0.01129329053
623	0.01126607968
624	0.01124549368
625	0.01121974827
626	0.01119460422
627	0.01117428093
628	0.01115611404
629	0.01113130181
630	0.01110753436
631	0.01109011462
632	0.01107463791
633	0.01105022658
634	0.01103212879
635	0.01101656249
636	0.0109804565
637	0.01095430107
638	0.01093168699
639	0.01090563938
640	0.01087986512
641	0.01085600883
642	0.01083501509
643	0.01081548451
644	0.01079501772
645	0.01077341882
646	0.01074869769
647	0.01073055131
648	0.01070434121
649	0.01068408474
650	0.01066503859
651	0.01064285199
652	0.0106196525
653	0.01059732316
654	0.01057983508
655	0.0105626735
656	0.01053844592
657	0.0105052951
658	0.01049146531
659	0.01046840325
660	0.01044975193
661	0.01043333218
662	0.0104213095
663	0.01040440001
664	0.01038373352
665	0.01036572456
666	0.0103390475
667	0.01032551307
668	0.01031212214
669	0.01029434477
670	0.01027844818
671	0.01026082874
672	0.01024320171
673	0.01022507734
674	0.01020339796
675	0.01018766157
676	0.01017248099
677	0.01015685622
678	0.01013927703
679	0.01011242684
680	0.01009757124
681	0.01008184928
682	0.01006227238
683	0.01004028928
684	0.01002185512
685	0.01000325847
686	0.009985695219
687	0.009970462246
688	0.009956030329
689	0.009941366827
690	0.009925195366
691	0.009910723206
692	0.009893008858
693	0.009879362811
694	0.009865683355
695	0.009850303079
696	0.009832887893
697	0.009816558498
698	0.009801070402
699	0.00978551245
700	0.009770461708
701	0.009756451959
702	0.009738553102
703	0.009720316358
704	0.009699052306
705	0.009679961356
706	0.009664218137
707	0.009649224342
708	0.009629151624
709	0.009611384125
710	0.009595889195
711	0.009580920456
712	0.009568007888
713	0.009556407382
714	0.009540176695
715	0.00952287844
716	0.009507041828
717	0.009486480124
718	0.009469897124
719	0.009452292874
720	0.009433698502
721	0.009420514866
722	0.009410013818
723	0.009391467283
724	0.009372482634
725	0.009356258781
726	0.009344164733
727	0.009334289344
728	0.009316792913
729	0.009302774053
730	0.009292470422
731	0.00927451158
732	0.009264687824
733	0.009255305217
734	0.009243067662
735	0.009231240886
736	0.009216757337
737	0.009203556996
738	0.009190237446
739	0.009171922495
740	0.009143197612
741	0.00913102156
742	0.009117138614
743	0.009102405257
744	0.009088730356
745	0.009075605945
746	0.009062753362
747	0.009048217421
748	0.00903827977
749	0.009021625397
750	0.008999420579
751	0.008981122333
752	0.008971548384
753	0.008955835537
754	0.008942347423
755	0.008928636077
756	0.008917963429
757	0.008908589934
758	0.008887763995
759	0.00887404126
760	0.008864447569
761	0.008855569135
762	0.008842483448
763	0.008828403084
764	0.008815241467
765	0.008801674387
766	0.008787063277
767	0.008770458258
768	0.008758598832
769	0.008744967971
770	0.00873322092
771	0.008719267359
772	0.008707688872
773	0.008691941857
774	0.008674475797
775	0.008662387064
776	0.008650482081
777	0.008642258158
778	0.008630101848
779	0.008615023012
780	0.008607637351
781	0.008594022435
782	0.008581061272
783	0.008566361324
784	0.0085551678
785	0.008541305354
786	0.008526543903
787	0.008514439984
788	0.008499555527
789	0.008487026403
